Name,Type,Address,County,City,State,Zip_code,Latitude,Longitude
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2720 Sandy Plains Rd, Marietta, GA 30066, USA",Cobb County,Marietta,GA,30066,34.0166452,-84.4921375
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2164 Cobb Pkwy NW, Kennesaw, GA 30152, USA",Cobb County,Kennesaw,GA,30152,34.0053318,-84.60283380000001
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","3635 Austell Rd SW, Marietta, GA 30008, USA",Cobb County,Marietta,GA,30008,33.86486319999999,-84.59397779999999
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","8765 Tara Blvd, Jonesboro, GA 30236, USA",Clayton County,Jonesboro,GA,30236,33.5158118,-84.3635596
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","611 Hwy 138 SE, Stockbridge, GA 30281, USA",Henry County,Stockbridge,GA,30281,33.5485309,-84.27568680000002
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","5252 N Henry Blvd, Stockbridge, GA 30281, USA",Henry County,Stockbridge,GA,30281,33.5476083,-84.2506088
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","201 Fairview Rd, Ellenwood, GA 30294, USA",Henry County,Ellenwood,GA,30294,33.6190534,-84.2421828
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","6542 GA-42, Rex, GA 30273, USA",Clayton County,Rex,GA,30273,33.57858179999999,-84.2751133
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2842 Panola Rd, Lithonia, GA 30058, USA",DeKalb County,Lithonia,GA,30058,33.70447,-84.1690107
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2255 Panola Rd, Lithonia, GA 30058, USA",DeKalb County,Lithonia,GA,30058,33.7239613,-84.1679341
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2918 Woodrow Dr, Stonecrest, GA 30038, USA",DeKalb County,Stonecrest,GA,30038,33.6991236,-84.11769439999999
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","5245 Stone Mountain Hwy, Stone Mountain, GA 30087, USA",Gwinnett County,Stone Mountain,GA,30087,33.8237876,-84.11162999999999
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2661 Powder Springs Rd, Marietta, GA 30064, USA",Cobb County,Marietta,GA,30064,33.8672254,-84.631062
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1400 Lee Rd, Lithia Springs, GA 30122, USA",Douglas County,Lithia Springs,GA,30122,33.7670256,-84.6509691
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","4097 Marietta St, Powder Springs, GA 30127, USA",Cobb County,Powder Springs,GA,30127,33.8584428,-84.6740398
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","4030 Chapel Hill Rd, Douglasville, GA 30135, USA",Douglas County,Douglasville,GA,30135,33.6969339,-84.7156017
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","3255 Florence Rd, Powder Springs, GA 30127, USA",Cobb County,Powder Springs,GA,30127,33.8752033,-84.7026245
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2111 Fairburn Rd, Douglasville, GA 30135, USA",Douglas County,Douglasville,GA,30135,33.7473148,-84.7014319
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","6026 Bethelview Rd, Cumming, GA 30040, USA",Forsyth County,Cumming,GA,30040,34.1631845,-84.1762061
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","903 Buford Rd, Cumming, GA 30041, USA",Forsyth County,Cumming,GA,30041,34.1791638,-84.1332541
