Name,Type,Address,County,City,State,Zip_code,Latitude,Longitude,NumPanels,YearlyEnergy (kWh),SolarArea (m²)
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","484 Indian Trail Lilburn Rd NW, Lilburn, GA 30047, USA",Gwinnett County,Lilburn,GA,30047,33.8966581,-84.1399344,54,32433.648,106.03196
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","3915 Lawrenceville Hwy, Lilburn, GA 30047, USA",Gwinnett County,Lilburn,GA,30047,33.9064282,-84.1118664,9,5339.916,17.671993
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2915 Lawrenceville-Suwanee Rd, Suwanee, GA 30024, USA",Gwinnett County,Suwanee,GA,30024,34.0276901,-84.0453428,63,37733.15,123.70396
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1205 Lakes Pkwy, Lawrenceville, GA 30043, USA",Gwinnett County,Lawrenceville,GA,30043,33.9639814,-84.0376209,37,22089.69,72.65153
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","455 Bethesda School Rd, Lawrenceville, GA 30044, USA",Gwinnett County,Lawrenceville,GA,30044,33.9229622,-84.084448,23,11842.356,45.161762
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1255 Scenic Hwy S, Lawrenceville, GA 30045, USA",Gwinnett County,Lawrenceville,GA,30045,33.8999454,-84.0061454,24,13798.876,47.125317
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","4135 Sugarloaf Pkwy, Lawrenceville, GA 30044, USA",Gwinnett County,Lawrenceville,GA,30044,33.9395294,-84.0343149,31,18395.55,60.8702
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1825 Pleasant Hill Rd, Duluth, GA 30096, USA",Gwinnett County,Duluth,GA,30096,33.9499207,-84.1289394,30,17863.898,58.906647
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","219 Grayson Hwy, Lawrenceville, GA 30046, USA",Gwinnett County,Lawrenceville,GA,30046,33.9462022,-83.9858058,30,18065.26,58.906647
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1935 Braselton Hwy, Buford, GA 30519, USA",Gwinnett County,Buford,GA,30519,34.0357143,-83.9532912,32,16485.258,62.833755
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","926 Pleasant Hill Rd, Lawrenceville, GA 30044, USA",Gwinnett County,Lawrenceville,GA,30044,33.9257478,-84.1139178,21,12468.966,41.234653
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","3335 Steve Reynolds Blvd, Duluth, GA 30096, USA",Gwinnett County,Duluth,GA,30096,33.9536084,-84.14146749999999,20,11990.505,39.271095
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2320 Satellite Blvd, Duluth, GA 30096, USA",Gwinnett County,Duluth,GA,30096,33.976942,-84.092912,309,186782.13,606.73846
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","932 Buford Dr, Lawrenceville, GA 30043, USA",Gwinnett County,Lawrenceville,GA,30043,33.9884677,-83.984693,26,15926.346,51.052425
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","2250 Peachtree Industrial Blvd, Duluth, GA 30097, USA",Gwinnett County,Duluth,GA,30097,34.0206979,-84.1227541,31,17422.98,60.8702
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1100 Old Peachtree Rd NW, Duluth, GA 30097, USA",Gwinnett County,Duluth,GA,30097,34.0013913,-84.07652689999999,34,20471.08,66.760864
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","772 Dacula Rd, Dacula, GA 30019, USA",Gwinnett County,Dacula,GA,30019,34.0052404,-83.9134052,23,13689.363,45.161762
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","1960 Main St E SUITE B, Snellville, GA 30078, USA",Gwinnett County,Snellville,GA,30078,33.8556529,-83.9947408,31,17087.027,60.8702
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","3871 US-78, Snellville, GA 30039, USA",Gwinnett County,Snellville,GA,30039,33.840214,-84.0651261,38,22851.805,74.61508
Waffle House,"meal_takeaway, restaurant, point_of_interest, food, establishment","4752 US-78, Loganville, GA 30052, USA",Walton County,Loganville,GA,30052,33.8337107,-83.8843488,18,10693.559,35.343987
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","195 Eagles Landing Pkwy, Stockbridge, GA 30281, USA",Henry County,Stockbridge,GA,30281,33.5178179,-84.19261449999999,124,76365.91,243.4808
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1480 Jonesboro Rd, McDonough, GA 30253, USA",Henry County,McDonough,GA,30253,33.4623579,-84.2030724,20,11315.186,39.271095
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1000 GA-155 S, McDonough, GA 30253, USA",Henry County,McDonough,GA,30253,33.4090366,-84.16532749999999,37,21977.701,72.65153
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","1727 Hudson Bridge Rd, Stockbridge, GA 30281, USA",Henry County,Stockbridge,GA,30281,33.5014533,-84.24255,25,15200.963,49.08887
Waffle House,"meal_takeaway, restaurant, food, point_of_interest, establishment","265 Jonesboro Rd, McDonough, GA 30253, USA",Henry County,McDonough,GA,30253,33.4525567,-84.1668868,26,14989.541,51.052425
